en	kw
I'm sorry, I can't help you.	Drog yw genev, ny allav dha weres.
I don't want to swim.	Ny vynnav vy neuvya.
Come in!	Deus a-ji!
I know.	Gonn.
I hate my sister.	Kas yw genev ow hwor.
You must tell me.	Res yw dhis leverel dhymm.
I love him.	My a’n kar.
This is a desk.	Desk yw hemma.
Is this your house?	Yw hemma dha ji?
I'm too small.	Re vyghan ov.
He spoke.	Ev a gewsis.
What kind of music does Tom like?	Py par ilow yw da gans Tom?
Are these your things?	Yw an re ma dha draow?
What book did you buy?	Py lyver a brensys?
Come quickly!	Deus yn uskis!
You can't go.	Ny yll'ta mos.
I've been waiting for you.	My re bia ow kortos ragos.
Must I go with you?	Yw res dhymm mos genes?
I ran.	My a wrug ponya.
Is that your boyfriend?	Yw henna dha garer?
Don't you have a pen?	A nyns eus dhis pluven?
I have to know.	Res yw dhymm godhvos.
What's the meaning of this phrase?	Pyth yw styr an lavar-ma?
We're hungry.	Yma nown dhyn.
It's snowing again.	Yma hi ow kul ergh arta.
You don't have to come.	Nyns yw res dhis dos.
We must party.	Res yw dhyn kevewya.
I'm hungry!	Yma nown dhymm!
You have three cats.	Yma teyr hath dhis.
I'm leaving now.	Yth esov vy ow tiberth lemmyn.
I prefer English.	Gwell yw genev Sowsnek.
He washes himself.	Ev a omwolgh.
I hate snow!	Kas yw genev ergh!
Do you like cheese?	Yw da genes keus?
They are watching.	Yth esons i ow mires orth.
Tom's strong.	Krev yw Tom.
Is that new?	Yw henna nowydh?
I'm tired.	Skwith ov.
I have to walk slowly.	Res yw dhymm kerdhes yn lent.
He is my brother.	Ev yw ow broder.
The weather is snowy.	Erghek yw an gewer.
Do you have to go?	Yw res dhis mos?
Pardon me, please.	Gav dhymm, mar pleg.
She is my daughter.	Ow myrgh yw hi.
Mice are drinking the water.	Ma logos oth ola an dowr.
It'll snow tomorrow.	Y hwra ergh a-vorow.
I was very hungry.	Yma nown bras dhymm.
Do you like French wines?	Yw da genes gwin frynkek?
I need to swim.	Res yw dhymm neuvya.
That store sells meat and fish.	Kig ha pysk a werth an gwerthji na.
We must talk.	Res yw dhyn kewsel.
Tom didn't understand a thing.	Ny gonvedhas Tom tra vyth.
Good dog!	Ki da!
Is that a bear?	Yw henna ors?
Why do you want to talk to me?	Prag y fynn'ta kewsel orthiv?
Are you a student?	Os ta studhyer?
Why do you want stamps?	Prag y fynn'ta kavos stampow?
I'll give it to Tom.	My a vynn y ri dhe Tom.
This room is quiet.	Kosel yw an stevel ma.
We don't need to go there.	Nyns yw res dhyn mos ena.
It's snowing here.	Yma hi ow kul ergh omma.
You must come home.	Res yw dhis dos tre.
Tom didn't see you.	Ny’gas gwelas Tomm.
Why do you want to sell it?	Prag y fynn'ta y wertha?
He has three children.	Yma tri flogh dhodho.
I will not come.	Ny vynnav dos.
What do you want to do?	Pandr’a vyn’ta dhe wul?
Are you with us?	Esos ta genen?
Merry Christmas!	Nadelik Lowen!
Do I have to open the window?	Yw res dhymm ygeri an fenester?
I hate Tom now.	Kas yw genev Tom lemmyn.
I am eating.	Yth esov vy ow tybri.
You can't go now.	Ny yll'ta mos lemmyn.
Tom couldn't find Mary.	Ny ylli Tomm kavos Maria.
I don't like wine.	Nyns yw da genev gwin.
I can't talk.	Ny allav vy kewsel.
Is there a TV in your bedroom?	Eus pellwolok y’th chambour?
They can come.	I a yll dos.
He'll have to do this task again.	Res vydh dhodho gul arta an oberen ma.
Do you like oranges?	Yw da genes owravalow?
There isn't an orange on the table.	Nyns eus owraval war an voos.
I'm eating.	Yth esov vy ow tybri.
We must go to school.	Res yw dhyn mos dhe skol.
I have to hurry!	Res yw dhymm fistena!
I'm in Dubai.	Yth esov vy yn Dubai.
We could wait.	Ni a allas gortos.
That is his house.	Henn yw y ji.
I'm very hungry.	Yma nown bras dhymm.
He has ten children.	Yma dhodho deg flogh.
I used to drink beer.	My a wre eva korev.
I have to do something.	Res yw dhymm gul neppyth.
My sister has a dog.	Yma ki dhe ow hwor.
The box is big and heavy.	An kist yw bras ha poos.
Where do you live?	Ple’th os ta trigys?
I'm coming home.	Yth esov vy ow tos tre.
Do you need to work on Sundays?	Yw res dhis oberi dy Sul?
Is this your pen?	Yw homma dha bluven?
Tom is holding it.	Yma Tom orth y synsi.
I'm able to swim.	My a yll neuvya.
The weather is rainy.	Glawek yw an gewer.
We used to work together.	Ni a wre oberi war-barth.
Do you understand French?	A wre’ta convedhes Frynkek?
I like to eat fish.	Da yw genev dybri pysk.
I've been working.	My re bia owth oberi.
He has two dogs.	Yma dew gi dhodho.
The weather was very good.	Pur dha o an gewer.
There's a book with me.	Yma genev lyver.
I can't ski.	Ny allav vy skia.
I was doing my homework.	Yth esen vy ow kul ow ober tre.
Was that a lie?	O henna gow?
Who are you?	Piw os?
I speak English every day.	My a gews Sowsnek pub dydh.
He ran.	Ev a wrug ponya.
Tom has three dogs.	Yma tri hi dhe Tom.
We need to eat something.	Res yw dhyn dybri neppyth.
I wanted to come.	My a vynnas dos.
Where's the bank?	Ple'ma'n arghantti?
Where's my car?	Ple’ma ow harr-tan?
It snowed.	Hi a wrug ergh.
Do I have to come on Monday?	Yw res dhymm dos dy Lun?
I can't drive.	Ny allav vy lewya.
I must sleep now.	Res yw dhymm koska lemmyn.
I'm very tired.	Pur skwith ov vy.
We have to stop.	Res yw dhyn hedhi.
I had to leave.	Res o dhymm diberth.
I walk.	My a gerdh.
I'm mean.	Kraf ov.
I don't want to.	Ny vynnav vy.
We have to go.	Res yw dhyn mos.
You'll have to leave now.	Res vydh dhis diberth lemmyn.
I like dogs, too.	Da yw genev keun, ynwedh.
Do you like music?	Yw da genes ilow?
You don't want to do that.	Ny vynn'ta gul henna.
Does he have money?	Eus mona dhodho?
Four multiplied by two is eight.	Peswar gweyth dew yw eth.
You don't have to lie.	Nyns yw res dhis gowleverel.
I need to buy one.	Res yw dhymm prena onan.
I speak five languages.	My a gews pymp yeth.
I had to tell somebody.	Res o dhymm leverel nebonan.
Tom didn't understand.	Ny gonvedhas Tom.
I'm trying to read here.	Yth esov vy owth assaya redya omma.
Six and four are ten.	Hwegh ha peswar yw deg.
This table is wooden.	Prenn yw an voos ma.
You are not my brother.	Nyns os ta ow broder.
Do you like apples?	Yw da genes avalow?
I'm not sure.	Nyns ov sur.
Tom doesn't like hot food.	Nyns yw da gans Tom boos pooth.
I'm a woman.	Benyn ov.
Tom doesn't like that idea.	Nyns yw da gans Tom an tybyans na.
He came here to help me.	Ev a dheuth omma rag ow gweres.
Is that a bird?	Yw honna edhen?
It's snowing now.	Yma hi ow kul ergh lemmyn.
I must buy one.	Res yw dhymm prena onan.
I must go to the toilet.	Res yw dhymm mos dhe'n bisva.
I hate this town.	Kas yw genev an dre ma.
Is that your house?	Yw henna dha ji?
Tom knows that.	Tomm a wor henna.
The book is on the table.	Yma an lyver war an voos.
I hate my neighbor.	Kas yw genev ow hentrevek.
He's got two cars.	Yma dhodho dew garr-tan.
I have a pretty dog.	Yma ki teg dhymm.
We still need to talk to Tom.	Res yw dhyn hwath kewsel orth Tom.
This book is heavy.	An lyver ma yw poos.
Well done!	Gwrys yn ta!
She left early.	Hi a dhibarthas a-varr.
Tom doesn't like to sing.	Nyns yw da gans Tom kana.
I'm trying to help now.	Yth esov vy owth assaya gweres lemmyn.
That's my cat.	Honn yw ow hath.
Do you have a dog?	Eus ki dhymm?
I don't like cats.	Nyns yw da genev kathes.
I hate this school.	Kas yw genev an skol ma.
I'm coming back.	Yth esov vy ow tos arta.
This is true.	Hemm yw gwir.
They don't want to leave.	Ny vynnons i diberth.
Are you studying?	Esos ta ow studhya?
Happy birthday, Shishir!	Penn-bloodh lowen, Shishir!
We live close to the station.	Ogas dhe’n gorsav yth on ni trigys.
I needed to hear that.	Res o dhymm klewes henna.
You don't need to do this.	Nyns yw res dhis gul hemma.
I can't tell you.	Ny allav vy leverel dhis.
I had to stop.	Res o dhymm hedhi.
My cat is following me.	Yma ow hath orth ow holya.
We need to leave.	Res yw dhyn diberth.
That church stands on a hill.	Yma’n eglos na war vre.
He was hungry.	Yth esa nown dhodho.
I think Tom was drunk.	Medhow o Tom, dell grysav.
My mother loves me.	Ow mamm a’m kar.
I hate rain.	Kas yw genev glaw.
That apple is big.	Bras yw an aval na.
He was thirsty.	Yth esa seghes dhodho.
We're doctors.	Medhogyon on.
"Do you want to buy them? ""Yes."""	“A vyn’ta aga frena?” “Mynnav.”
You must go home.	Res yw dhis mos tre.
They don't come.	Ny wrons dos.
He was playing the piano.	Yth esa ow seni an piano.
I've been waiting for this.	My re bia ow kortos rag hemma.
I prepared dinner.	My a bareusis kinnyow.
I am waiting.	Yth esov vy ow kortos.
This isn't my dog.	Nyns yw hemma ow hi.
Don't go.	Na wra mos.
She has three children.	Yma tri flogh dhedhi.
They don't have to answer.	Nyns yw res dhedha gorthebi.
How?	Fatla?
Those apples are big.	An avalow na yw bras.
He has a white dog.	Yma ki gwynn dhodho.
Does Laurie have a computer?	Eus dhe Laurie jynn-amontya?
It's ten to nine.	Deg mynysen dhe naw eur.
I can't help.	Ny allav vy gweres.
Who wrote the letter?	Piw a skrifas an lyther?
Would you like a cup of tea now?	A garses ta kavos hanafas a de lemmyn?
You're a teacher now.	Dyskador os ta lemmyn.
I have a girlfriend.	Yma kares dhymm.
I must talk with you.	Res yw dhymm kewsel genes.
Where is the train?	Ple'ma an tren?
What'll you do tomorrow?	Pandr’a vyn’ta dhe wul a-vorow?
Yes, I am married.	Ov, demedhys ov.
I don't want to open the window.	Ny vynnav ygeri an fenester.
You've lost your umbrella.	Ty re gollas dha lawlen.
Tom can swim as fast as you.	Tom a yll neuvya mar skav avelos.
My brother has a dog.	Yma ki dhe ow vroder.
I am tired!	Skwith ov.
We want to leave.	Ni a vynn diberth.
I need to travel.	Res yw dhymm viajya.
I must say something.	Res yw dhymm leverel neppyth.
Is that your book?	Yw hemma dha lyver?
I hate my family.	Kas yw genev ow theylu.
The wind is cold today.	Yeyn yw an gwyns hedhyw.
Again?	Arta?
Is this your dictionary?	Yw hemma dha erlyver?
Don't cry.	Na wra ola.
That book is old.	Koth yw an lyver na.
He had to leave the village.	Res o dhodho diberth an drev.
Is the bird alive or dead?	Yw an edhen byw po marow?
Do you need to work on Sunday?	Yw res dhis oberi dy Sul?
I could do it.	Ty a allas y wul.
What's your daughter's name?	Pyth yw hanow dha vyrgh?
Those are my books.	An re na yw ow lyvrow.
Is that a wolf?	Yw henna bleydh?
The keys, please.	An alhwedhow, mar pleg.
I don't want to go.	Ny vynnav vy mos.
I'm looking for work.	Yth esov vy ow hwilas hwel dhe wul.
We must run.	Res yw dhyn ponya.
This is not a dog.	Nyns yw hemma ki.
I need to leave.	Res yw dhymm diberth.
It snowed last night.	Hi a wrug ergh nyhewer.
She can come.	Hi a yll dos.
I have four children.	Yma peswar flogh dhymm.
Give me the spoon.	Ro dhymm an lo.
Do you like your car?	Yw da genes dha garr?
I have to leave.	Res yw dhymm diberth.
My eyes are blue.	Glas yw ow dewlagas.
We're working.	Yth eson ni owth oberi.
Where is the library?	Ple'ma an lyverva?
Do you like blue cheese?	Yw da genes keus glas?
You don't need to go there.	Nyns yw res dhis mos ena.
Where is the bridge?	Ple'ma an pons?
I read.	My a red.
Do you have to do that now?	Yw res dhis gul henna lemmyn?
We waited.	Ni a wortas.
I had to do something.	Res o dhymm gul neppyth.
I'm 25 years old.	25 bloodh ov.
Don't talk to me like that.	Na gows orthiv y’n vaner-na!
I can't eat meat.	Ny allav vy dybri kig.
Talk to them.	Kows dhedha.
We're happy.	Lowen on ni.
I like playing with my dog.	Da yw genev ow kwari gans ow hi.
I hate that sound.	Kas yw genev an tros na.
Mr Smith is a good teacher.	Mr Smith yw dyskador da.
We need to hurry.	Res yw dhyn fistena.
That is his car.	Henn yw y garr.
I had to see you.	Res o dhymm dha weles.
Was Tom very busy?	O Tom pur vysi?
We have to go now.	Res yw dhyn mos lemmyn.
Tom's dog is very big.	Ki Tom yw pur vras.
I'm reading the newspaper.	Yth esov vy ow redya an paper nowodhow.
He speaks four languages.	Ev a gews peder yeth.
Tom doesn't want to go.	Ny vynn Tom mos.
I have to go.	Res yw dhymm mos.
He is eight.	Eth bloodh yw ev.
I don't have to go.	Nyns yw res dhymm mos.
We have to eat.	Res yw dhyn dybri.
I'm not your enemy.	Nyns ov dha eskar.
I am a woman.	Benyn ov vy.
I've been working there for three months.	My re bia owth oberi ena rag tri mis.
How are you today?	Fatla genes hedhyw?
Fine, thank you. And you?	Yn poynt da, meur ras. Ha genes sy?
I have a credit card.	Yma dhymm karten gresys.
We didn't need to do that.	Nyns o res dhyn gul henna.
He has two cars.	Yma dhodho dew garr-tan.
I still need to talk to you.	Res yw dhymm hwath kewsel orthis.
We have to wear shoes.	Res yw dhyn gwiska eskisyow.
I used to live here.	My a wre triga omma.
I remember this.	Yma kov dhymm a hemma.
That woman has two bags.	Yma dhe’n venyn na dew sagh.
You can't walk.	Ny yll'ta kerdhes.
I saw him.	My a’n gwelas.
You have to help.	Res yw dhis gweres.
This day is Friday.	An jydh ma yw dy Gwener.
You don't need to come.	Nyns yw res dhis dos.
You'll have to stay in the garage.	Res vydh dhis gortos y'n karrji.
This is rubbish.	Hemm yw atal.
Stay here!	Gorta omma!
The sand on the beach was white.	Gwynn o an tewes war an treth.
They're going.	Yth esons i ow mos.
I am more beautiful than you.	Tekka ov agesos sy.
Do you like snow?	yw da genes ergh?
Can you speak English?	A wodhesta kewsel Sowsnek?
We're not surprised.	Nyns eus marth dhyn.
He has a dog.	Yma ki dhodho.
I will give him the book tomorrow.	My a vynn ri dhodho an lyver a-vorow.
Where is her house?	Ple’ma hy chi?
He took honey instead of sugar.	Ev a gemeras mel yn le sugra.
Do I have to go now?	Yw res dhymm mos lemmyn?
She likes to read.	Da yw gensi redya.
You can't go there.	Ny yll'ta mos ena.
Tom is strong.	Krev yw Tom.
I don't like eggs.	Nyns yw da genev oyow.
Are you hungry?	Os ta gwag?
Mary knows me.	Maria a’m aswon.
I like Tom.	Da yw genev Tom.
Do we have to go there?	Yw res dhyn mos ena?
I've been waiting.	My re bia ow kortos.
I sent you a letter.	My a dhanvonas dhis lyther.
I like your dogs.	Da yw genev dha geun.
What's the time?	Py eur yw?
We used to work for them.	Ni a wre oberi ragdha.
I like sport.	Da yw genev sport.
This is a big dog.	Hemm yw ki bras.
How's the weather in Boston?	Fatel yw an gewer yn Boston?
He must clean his room.	Res yw dhodho glanhe y stevel.
This tea is good.	Da yw an te-ma.
I shouted.	My a armas.
We had to leave.	Res o dhyn diberth.
I have to drink.	Res yw dhymm eva.
I don't like spring.	Nyns yw da genev gwenton.
I can't see them.	Ny allav aga gweles.
It's too late.	Re dhiwedhes yw.
We must finish this.	Res yw dhyn gorfenna hemma.
He wants a new dog.	Ev a vynn ki nowydh.
Is this your letter?	Yw hemma dha lyther?
You don't need to be there.	Nyns yw res dhis bos ena.
I continued working.	My a besyas oberi.
You need to go home.	Res yw dhis mos tre.
That is wet.	Henn yw glyb.
She's beautiful.	Teg yw hi.
I have a headache today.	Yma drog penn dhymm hedhyw.
You'll have to go.	Res vydh dhis mos.
Is this car new?	Yw an karr ma nowydh?
Is that your dog?	Yw henna dha gi?
My name is Edgar Degas.	Edgar Degas yw ow hanow.
Toshio, who do you like?	Toshio, piw yw da genes?
Today is Wednesday.	dy'Mergher yw hedhyw.
I like to drink milk.	Da yw genev eva leth.
I'll call him.	My a vynn y elwel.
Why do I need to do this?	Prag yth yw res dhymm gul hemma?
Tom walks the dog.	Tom a gerdh an ki.
I can't sing well.	Ny allav vy kana yn ta.
Why do you want to work here?	Prag y fynn'ta oberi omma?
We don't want to do that.	Ny vynnyn ni gul henna.
I've been doing this for months.	My re bia ow kul hemma rag misyow.
You had to study English.	Res o dhis studhya Sowsnek.
This apple is sweet.	Hweg yw an aval ma.
Is her father a teacher?	Yw hy thas dyskador?
We have to tell someone.	Res yw dhyn leverel nebonan.
We are coming.	Yth eson ni ow tos.
You're my friends.	Ow hothmans owgh hwi.
You have to go.	Res yw dhis mos.
We need to talk.	Res yw dhyn kewsel.
He doesn't like to drink coffee.	Nyns yw da ganso eva koffi.
The sun is big.	Bras yw an howl.
I'm trying to sleep.	Yth esov vy owth assaya koska.
Where's the dog?	Ple'ma an ki?
The house was big.	Bras o an chi.
I like men.	Da yw genev tus.
We must speak.	Res yw dhyn kewsel.
I hate those words.	Kas yw genev an geryow na.
Would you like anything to drink?	A vynn'ta kavos neppyth dhe eva?
The weather is foggy.	Niwlek yw an gewer.
You need to sleep.	Res yw dhis koska.
The church stands on the hill.	Yma’n eglos war an vre.
We have to do something.	Res yw dhyn gul neppyth.
You need to sit.	Res yw dhis esedha.
I hate homework.	Kas yw genev ober tre.
I don't like to walk.	Nyns yw da genev kerdhes.
I still love you.	My a’th kar hwath.
We remember.	Yma kov dhyn.
Can you hear me?	A yll’ta ow klewes?
I used to work for her.	My a wre oberi rygdhi.
I don't understand.	Ny gonvedhav.
I don't like homework.	Nyns yw da genev ober tre.
He's hungry and thirsty.	Yma nown ha seghes dhodho.
I don't want to wait.	Ny vynnav vy gortos.
We need to stop.	Res yw dhyn hedhi.
Do you like rain?	Yw da genes glaw?
We could walk.	Ni a allas kerdhes.
We wanted to wait.	Ni a vynnas gortos.
I like to speak Welsh.	Da yw genev kewsel Kembrek.
Give me a little ice cream.	Ro dhymm nebes dehen rew.
I need to stop.	Res yw dhymm hedhi.
Say something.	Lavar neppyth.
You can't do this.	Ny yll'ta gul hemma.
I like this dog.	Da yw genev an ki ma.
I had to tell Tom.	Res o dhymm leverel Tom.
I like blue.	Da yw genev glas.
He must find work.	Res yw dhodho kavos ober.
I'm smoking.	Yth esov vy ow megi.
I considered that.	My a brederis henna.
He doesn't like fish.	Nyns yw da ganso pysk.
I don't like this hat.	Nyns yw da genev an hatt ma.
She speaks seven languages.	Hi a gews seyth yeth.
He is twenty-four years old.	Peswar bloodh warn ugens yw ev.
Where art thou?	Ple’th esos ta?
I've been studying French.	My re bia ow studhya Frynkek.
I'm behind him.	Yth esov war y lergh.
Do you like this?	Yw da genes hemma?
I am going.	Yth esov vy ow mos.
We leave tonight.	Ni a dhiberth haneth.
